N°_PERRO;MES_FOTO;ANHO_FOTO;ZONA;DISTRITO;CODIGO_PERRO;VINCULO;LATITUD ;LONGITUD;BUSCADOR;DUPLICADO_BUSCADOR;DUPLICADO_ZONA;DUPLICADO_ENTRE_ZONAS;FUERA_FECHA;DENTRO_CASA;FUERA_ZONA;BUSQUEDA
1;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/GsUeEPj8GSA3cFTT9;-16.381831°;-71.523655°;3;;;;;;;A
2;DICIEMBRE;2014;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/weBncJRZUmMzZGHHA;;;3;0;0;0;1;0;0;A
3;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/SpXtAZuWfkDABpvz6;-16.380814°;-71.522594°;3;;;;;;;A
4;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/3T5miv9pyyU4Egnh6;;;3;0;0;0;0;0;1;A
5;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/1UQDeQuGb9RCCaCa6;;;3;0;0;0;0;0;1;A
6;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/SPt5ryMQBXWXgTbh7;-16.378874°;-71.522941°;3;;;;;;;A
7;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/WyAGQeHBfZqzg6aw9;-16.380114°;-71.523573°;3;;;;;;;A
8;JULIO;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/ok5gmfLbWpGDH4cY8;-16.380901°;-71.523125°;3;;;;;;;A
9;JULIO;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/9DnzQitv47H68D7u7;-16.380940°;-71.523092°;3;;;;;;;A
10;DICIEMBRE;2014;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/sZZbHFYxjemiR5Qz9;;;3;0;0;0;1;0;0;A
11;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/UQbpP27DqDVvqsBr6;-16.381288°;-71.523748°;3;;;;;;;A
12;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/AL1aALmBpUuBWhAr7;-16.381352°;-71.523828°;3;;;;;;;A
13;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/j1zjJhH9cDPNaskH6;-16.381709°;-71.524194°;3;;;;;;;A
14;FEBRERO;2014;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/yAEqp8CqjwoqfSma8;;;3;0;0;0;1;0;0;A
15;FEBRERO;2014;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/UUHk3q9H3eP678Au6;;;3;0;0;0;1;0;0;A
16;FEBRERO;2014;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/u3JiaL9LGzLU33Vy6;;;3;0;0;0;1;0;0;A
17;AGOSTO;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/CdP69DC7kaogEW8v9;-16.381390°;-71.524494°;3;;;;;;;A
18;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/uEcbJtVpniLKyv8h8;-16.379978°;-71.522916°;3;;;;;;;A
19;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/PdKuBJxW7GePjziR7;-16.379889°;-71.522802°;3;;;;;;;A
20;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/73DUYFuXAHzMa4sq9;-16.379761°;-71.522699°;3;;;;;;;A
21;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/PupetuKKhMKy867h6;-16.379764°;-71.522683°;3;;;;;;;A
22;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/yJ3wVZHVfuJy36qV8;-16.379748°;-71.522689°;3;;;;;;;A
23;SEPTIEMBRE;2013;COOP. LA ESTRELLA;ALTO SELVA ALEGRE;;https://goo.gl/maps/FXgVtz1ro5MzqB3N9;-16.381103°;-71.524101°;3;;;;;;;A
1;SEPTIEMBRE;2013;ANTONIO JOSE DE SUCRE;ALTO SELVA ALEGRE;1.14.11;https://goo.gl/maps/LQFQ1Fu7A4JcpyQUA;-16.379674°;-71.524751°;17;0;1;1;0;0;0;A
2;AGOSTO;2013;ANTONIO JOSE DE SUCRE;ALTO SELVA ALEGRE;1.7.1;https://goo.gl/maps/FaJJvL3qhefBqBbP8;-16.379802°;-71.524036°;17;0;1;0;0;0;0;A
3;AGOSTO;2013;ANTONIO JOSE DE SUCRE;ALTO SELVA ALEGRE;;https://goo.gl/maps/CA3NqfZniAn7c4Ky7;;;17;1;0;0;0;0;0;A
4;SEPTIEMBRE;2013;ANTONIO JOSE DE SUCRE;ALTO SELVA ALEGRE;1.7.2;https://goo.gl/maps/TJQ8hs4UWbC84hZA7;-16.380813°;-71.524335°;17;0;1;0;0;0;0;A
5;SEPTIEMBRE;2013;ANTONIO JOSE DE SUCRE;ALTO SELVA ALEGRE;1.7.3;https://goo.gl/maps/XpMNCewruuwNZDZH8;-16.380496°;-71.524560°;17;0;1;0;0;0;0;A
1;SEPTIEMBRE;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://goo.gl/maps/mzRBQSTJZ38ec4kn8;-16.387631°;-71.528594°;7;;;;;;;A
2;SEPTIEMBRE;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://goo.gl/maps/W5PXa8tYLCsP5jgF6;-16.384291°;-71.523091°;7;;;;;;;A
3;SEPTIEMBRE;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://goo.gl/maps/FEmihLZb5onHVUjv5;-16.382590°;-71.522070°;7;;;;;;;A
4;SEPTIEMBRE;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://goo.gl/maps/Vd3n8vbkpKoGSYsT8;-16.385645°;-71.526706°;7;;;;;;;A
5;JULIO;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://goo.gl/maps/r83Hw9Wwe8cA8ePj6;-16.389313°;-71.528428°;7;;;;;;;A
6;SEPTIEMBRE;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://goo.gl/maps/WRPcsD97QfxaH2YS8;-16.384838°;-71.523391°;7;;;;;;;A
7;SEPTIEMBRE;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://goo.gl/maps/Qc8HcmSdXnD3SGqe8;-16.384823°;-71.523390°;7;;;;;;;A
8;SEPTIEMBRE;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://goo.gl/maps/GYL6WiL5yCAiyhEi6;-16.385092°;-71.524061°;7;;;;;;;A
9;SEPTIEMBRE;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://goo.gl/maps/jRaZS7kkMdJtbM1k6;-16.385302°;-71.523309°;7;;;;;;;A
10;OCTUBRE;2013;URB. GRAFICOS;ALTO SELVA ALEGRE;;https://www.google.com.pe/maps/@-16.3852125,-71.5226955,3a,15y,119.67h,77.22t/data=!3m6!1e1!3m4!1sYJA2rw22lsshIAdeeNYTSw!2e0!7i13312!8i6656?hl=es-419;;;7;0;0;0;0;0;1;A
1;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/D4txDGYmrraqnaBf7;-16.378653°;-71.527111°;20;0;1;0;0;0;0;A
2;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/eMTJ1JESEMnxWXC36;-16.379252°;-71.526618°;20;;;;;;;A
3;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/HSZrFkQ84npDz4u46;-16.378991°;-71.526248°;20;0;1;0;0;0;0;A
4;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/ERApcM2snJruVyvz7;-16.378417°;-71.526335°;20;0;1;0;0;0;0;A
5;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/J7vepjxboFJV96iV6;-16.378660°;-71.526018°;20;0;1;0;0;0;0;A
6;AGOSTO;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/49kZGoKX6oKACFEZA;-16.378391°;-71.525872°;20;0;1;1;0;0;0;A
7;AGOSTO;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/GqywDK2w5FVTXfMYA;-16.378398°;-71.525795°;20;0;1;1;0;0;0;A
8;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/m9F24TvyNrcA7MFy9;-16.378494°;-71.527761°;20;;;;;;;A
9;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/wPgWbNHz2BZ2eFxF6;-16.380059°;-71.526583°;20;0;1;1;0;0;0;A
10;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/vXtrYV3L7DwhieyB7;-16.378700°;-71.527616°;20;0;1;1;0;0;0;A
11;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/pZ1MudFArwS7V2tN6;-16.378190°;-71.526932°;20;0;1;0;0;0;0;A
12;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/L6ZstFtNcGscZE7b9;-16.378188°;-71.526918°;20;0;1;0;0;0;0;A
13;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/1pMkZmwis7uwQ4PH8;-16.379656°;-71.526732°;20;0;1;0;0;0;0;A
14;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/38VGGbyiDLgYWHoS9;-16.378510°;-71.525920°;20;0;1;0;0;0;0;A
15;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/ZeStEkKYZpg8SyKk9;-16.378813°;-71.525679°;20;0;1;0;0;0;0;A
16;SEPTIEMBRE;2013;ASOC. DE VIV. VILLA EL CONQUISTADOR I;ALTO SELVA ALEGRE;;https://goo.gl/maps/tX2JtneHxxw6oJGt8;-16.378669°;-71.525565°;20;0;1;0;0;0;0;A
1;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/CJPks4V7eGxEdP5k8;-16.380025°;-71.529690°;17;0;0;0;0;0;0;A
2;AGOSTO;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/gnozAia5eZY8C4bTA;-16.381027°;-71.529520°;17;0;1;1;0;0;0;A
3;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/we7ftZzaHreuM4AC8;-16.380757°;-71.529623°;17;0;1;0;0;0;0;A
4;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/UpnWw88db7YPxYRLA;-16.380673°;-71.528923°;17;0;1;0;0;0;0;A
5;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/VoSrJiNXCM8Cdjay7;-16.380208°;-71.527784°;17;0;1;0;0;0;0;A
6;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/y7p8iQd4pkaoeGb46;-16.380663°;-71.527974°;17;0;1;1;0;0;0;A
7;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/Q5bAspMVxqSeBdEq9;-16.379678°;-71.528779°;17;0;1;0;0;0;0;A
8;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/LM3VVFzGh3ZbKuoz8;-16.379523°;-71.528632°;17;0;1;0;0;0;0;A
9;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/KdKKqYCMfT6o3DPZ6;;;17;1;0;0;0;0;0;A
10;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/TxbAYzJBXvuD8Coh7;;;17;1;0;0;0;0;0;A
11;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/8cB6MXhUGhiBBLLf9;-16.379344°;-71.528343°;17;0;1;0;0;0;0;A
12;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/juRrApjNq2pSag8t5;-16.378875°;-71.527749°;17;0;1;0;0;0;0;A
13;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/51e6K5mQvtM3bzny5;-16.378700°;-71.527616°;17;0;1;0;0;0;0;A
14;SEPTIEMBRE;2013;ASOC. DE VIVIENDA VILLA AREQUIPA;ALTO SELVA ALEGRE;;https://goo.gl/maps/RRnJsn7tYhK4ANuV6;;;17;1;0;0;0;0;0;A
1;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/g3sbMgE87KUdF54M8;-16.375227°;-71.521528°;3;0;1;0;0;0;0;A
2;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/Xr2DwRE6uJb5pezi8;-16.374324°;-71.520016°;3;0;0;0;0;0;0;A
3;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/7AZNFeqgfhtvQinU8;-16.374278°;-71.519933°;3;0;1;0;0;0;0;A
4;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/MAtC5XmiQL2NE3KF6;-16.374986°;-71.521937°;3;0;0;0;0;0;1;A
5;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/vUy5zpYf1g46jVEe7;-16.374991°;-71.522068°;3;0;0;0;0;0;1;A
6;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/rsSAtqwxkWTkPs6Q9;-16.374954°;-71.521980°;3;0;0;0;0;0;0;A
7;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/hedf9yYuoyRpvB4c8;-16.374862°;-71.521739°;3;0;1;0;0;0;0;A
8;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/8DSSnArTbGiHuBPT8;-16.374152°;-71.520510°;3;0;1;0;0;0;0;A
9;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/afcWMPduVyXTzE8D8;-16.374154°;-71.520495°;3;0;1;0;0;0;0;A
10;SEPTIEMBRE;2013;APROMA PAMPAS POLANCO;ALTO SELVA ALEGRE;;https://goo.gl/maps/q72EpUmTmgB5DD1C8;-16.374005°;-71.520252°;3;0;1;0;0;0;0;A
1;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/HNd33r2wTQ6FiVXf7;-16.375659°;-71.522475°;7;;;;;;;A
2;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/GwYwUZsGVuUGqgPd9;-16.376341°;-71.523957°;7;0;1;1;0;0;0;A
3;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/F6jfLp4w2VHnPnhQ9;-16.375332°;-71.522633°;7;;;;;;;A
4;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/DUgmdd7FuJTrgPzE7;-16.375089°;-71.522232°;7;;;;;;;A
5;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/ygLPaQE9WMSHfw7s6;-16.375040°;-71.522152°;7;;;;;;;A
6;JUILO;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/ukTkGsrQ2kTxjCwd9;-16.375397°;-71.523386°;7;;;;;;;A
7;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/NhitMqEKBoMpYs8FA;-16.376013°;-71.524489°;7;;;;;;;A
8;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/1vFMJNwuYKao2gwS6;-16.376009°;-71.524473°;7;;;;;;;A
9;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/HF8nQADWrqLdP27WA;-16.376068°;-71.524566°;7;;;;;;;A
10;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/wL5zpeSak4S25kGS8;-16.376074°;-71.524588°;7;;;;;;;A
11;SEPTIEMBRE;2013;ASOC. VIV. J. V. ALVARADO;ALTO SELVA ALEGRE;;https://goo.gl/maps/mGYP9W6W6eKtUPT4A;-16.376080°;-71.524601°;7;;;;;;;A
1;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.1;https://goo.gl/maps/gQ5QquAPnXDHiUqbA;-16.377581°;-71.522132°;13;;;;;;;A
2;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.2;https://goo.gl/maps/niX5SjqARonHMqCb9;-16.377100°;-71.520776°;13;;;;;;;A
3;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.3;https://goo.gl/maps/eQJV3kY2UbjSc37p8;-16.375685°;-71.518372°;13;;;;;;;A
4;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.4;https://goo.gl/maps/zL7f17FNoPk73xnQ7;-16.375248°;-71.518710°;13;;;;;;;A
5;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.5;https://goo.gl/maps/zL7f17FNoPk73xnQ7;-16.375233°;-71.518736°;13;;;;;;;A
6;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.6;https://goo.gl/maps/zL7f17FNoPk73xnQ7;-16.375221°;-71.518740°;13;;;;;;;A
7;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.7;https://goo.gl/maps/ZJ1wLct9qRmxjLbz5;-16.379193°;-71.521640°;13;;;;;;;A
8;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.8;https://goo.gl/maps/bAaMWU7YQ6uX1h5MA;-16.378853°;-71.521311°;13;;;;;;;A
9;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.9;https://goo.gl/maps/tBjKXnpbQWqmaVjP8;-16.376880°;-71.519549°;13;;;;;;;A
10;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.10;https://goo.gl/maps/qg4rJRuerV965m536;-16.377456°;-71.520541°;13;;;;;;;A
11;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.11;https://goo.gl/maps/9yqLNqtyNFL1toMg9;-16.377239°;-71.520379°;13;;;;;;;A
12;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.12;https://goo.gl/maps/d2zgdGKo1ZTuzyGZ9;-16.377029°;-71.520225°;13;;;;;;;A
13;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.13;https://goo.gl/maps/vjiUcFTWH8JLMK5h7;-16.376347°;-71.519529°;13;;;;;;;A
14;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.14;https://goo.gl/maps/5TbbFoBQCKDkNopHA;-16.375800°;-71.518887°;13;;;;;;;A
15;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.15;https://goo.gl/maps/jizTkri1xxxMPmaD9;-16.375213°;-71.518656°;13;;;;;;;A
16;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.16;https://goo.gl/maps/CHzWmGyyCRyWT4yY6;-16.376784°;-71.520486°;13;;;;;;;A
17;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.17;https://goo.gl/maps/bdxnSZ9AqhDNLGzy8;-16.376461°;-71.520188°;13;;;;;;;A
18;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.18;https://goo.gl/maps/bfSY7oYPk5pDXrkBA;-16.375831°;-71.519538°;13;;;;;;;A
19;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.19;https://goo.gl/maps/WeBmYzwS3pvme5yK9;-16.375181°;-71.518832°;13;;;;;;;A
20;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.20;https://goo.gl/maps/xcsr9rV57orje5f6A;-16.375203°;-71.518839°;13;;;;;;;A
21;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.21;https://goo.gl/maps/BbxzQtX4BDGM9LeK6;-16.376687°;-71.521379°;13;;;;;;;A
22;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.22;https://goo.gl/maps/62f8Qe7Gbe5iVgMa6;-16.375671°;-71.520111°;13;;;;;;;A
23;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.23;https://goo.gl/maps/UFmgQ3XHiPpUKn289;-16.374840°;-71.520164°;13;;;;;;;A
24;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.24;https://goo.gl/maps/RnbgEVNKSpsFAvUy6;-16.374139°;-71.519213°;13;;;;;;;A
25;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.25;https://goo.gl/maps/zYYDX1coEkd75JUs5;-16.374278°;-71.519933°;13;;;;;;;A
26;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.26;https://goo.gl/maps/pdbWNfDgTBRCB4M17;-16.376245°;-71.518236°;13;;;;;;;A
27;SEPTIEMBRE;2013;UPIS RAMIRO PRIALE;ALTO SELVA ALEGRE;1.10.27;https://goo.gl/maps/bQWVCJoqYLCDQkYdA;-16.376182°;-71.518186°;13;;;;;;;A
1;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/T9jJo8nQ3AwnXNGB6;-16.376681°;-71.516146°;14;;;;;;;A
2;AGOSTO;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/WXxWT3BA5P8jze4Q6;-16.376627°;-71.516040°;14;;;;;;;A
3;AGOSTO;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/JwuaanZPGDGjikbN8;-16.375095°;-71.513976°;14;;;;;;;A
4;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/xUcZSDU7KTi1UvcbA;-16.374792°;-71.513722°;14;;;;;;;A
5;DICIEMBRE;2014;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/EUCBKgBpUucw8Sz66;;;14;0;0;0;1;0;0;A
6;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/QVda9yE8KwRbRf1f9;-16.371704°;-71.512976°;14;;;;;;;A
7;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/hdJbNxW4ZUMpxYFm7;-16.375361°;-71.517273°;14;;;;;;;A
8;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/8ewVNVEdRxsoBtj56;-16.376182°;-71.518186°;14;;;;;;;A
9;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/uZT2aPQbv2FgHZDu8;-16.376909°;-71.518950°;14;;;;;;;A
10;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/7kiu4Fff9rr2MJ287;-16.380814°;-71.522594°;14;;;;;;;A
11;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/ztUWNty8F8nnGUVJ6;-16.381442°;-71.521336°;14;;;;;;;A
12;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/7Mjp31UqCoWgYxWt5;-16.380509°;-71.520317°;14;;;;;;;A
13;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/Q2f9R82dB2K9R5dQA;-16.380375°;-71.520187°;14;;;;;;;A
14;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/ZANVu3qKwo1wQPxs6;-16.380433°;-71.520111°;14;;;;;;;A
15;SEPTIEMBRE;2013;ALTO SELVA ALEGRE ZONA C;ALTO SELVA ALEGRE;;https://goo.gl/maps/fyvrcA6oJqw3QHdz9;-16.379468°;-71.518814°;14;;;;;;;A
